BD;SM2;1;1;1;1;AM0
INFOGRAPHIE;SM2;1;2;1;1;AMO
TNS;TNS;1;3;1;1;302
ALGO COMPLEX;ALG;1;3;1;2;AMO
;;1;1;2;2;
ALGO COMPLEX;GR2;1;5;2;1;317
;;1;4;1;1;
BD;GR1;1;5;2;2;222
;;1;4;1;2;
INFOGRAPHIE;GR4;1;5;2;3;111
;;1;1;4;3;
;;1;7;2;3;
BD;GR3;1;5;2;4;217
;;1;1;4;4;
;;1;7;2;4;
ALGO COMPLEX;GR1;1;7;2;1;317
TNS;GR4;1;7;2;2;108
INTRES;SI4;2;1;1;1;AMO
ANCOO1;SI4;2;3;1;1;AMO
;;2;2;1;1;
INFOGRAPHIE;GR1;2;5;2;1;111
;;2;4;1;1;
ANCOO1;GR3;2;5;2;2;108
;;2;1;4;2;
LANGDOC;GR2;2;5;2;3;218
;;2;1;4;3;
BD;GR4;2;5;2;4;217
;;2;1;4;4;
;;2;7;2;4;
ENTREPRISE;GR2;2;7;2;1;310
INFOGRAPHIE;GR3;2;7;2;2;111
LANGDOC;GR1;2;7;2;3;218
EDP;EDP;3;2;1;1;302
;;3;1;1;1;
ENTREPRISE;GR4;3;3;2;1;310
ANCOO1;GR2;3;3;2;2;108
;;3;1;2;2;
ANGLAIS SI4;GR3;3;3;2;3;318
;;3;1;2;3;
COMPILATION 1;GR1;3;3;2;4;218
;;3;1;2;4;
;;3;5;4;4;
ENTREPRISE;GR1;3;5;2;1;310
;;3;7;2;1;
ENTREPRISE;GR3;3;5;2;2;307
;;3;7;2;2;
EDP;GR4;3;5;2;3;222
;;3;7;2;3;
ALGO COMPLEX;GR3;4;1;2;1;307
ANGLAIS SI4;GR2;4;1;2;2;318
LANGDOC;GR4;4;1;2;3;218
LANGDOC;GR3;4;3;2;1;218
;;4;5;4;1;
ANGLAIS SI4;GR1;4;3;2;2;318
;;4;5;4;2;
INFOGRAPHIE;GR2;4;3;2;3;111
;;4;5;4;3;
INTRES;GR3;5;1;2;1;219
COMPILATION 1;GR2;5;1;2;2;218
ANGLAIS SI4;GR4;5;1;2;3;318
ANCOO1;GR1;5;1;2;4;108
COMPILATION 1;GR3;5;3;2;1;218
ANCOO1;GR4;5;3;2;2;108
BD;GR2;5;3;2;3;222
INTRES;GR1;5;3;2;4;217
;;5;5;4;4;
DROIT;GR4;5;5;2;1;AMO1
INTRES;GR2;5;5;2;2;217
DROIT;GR3;5;5;2;3;AMO
DROIT;GR2;5;7;2;1;AMO1
INTRES;GR4;5;7;2;2;217
DROIT;GR1;5;7;2;3;AMO
