# taille de la grille
X 1024
Y 1024
# position des obstacles
# Xmin Xmax Ymin Ymax
# si pas obstacle : mettre -1 comme valeur
# 16 obstacles
3 62 21 246
63 112 59 91
115 106 264 341
163 161 313 167
202 272 343 209
251 336 257 417
305 344 384 426
351 423 456 512
405 458 561 433
461 472 531 484
501 571 683 776
556 562 634 821
602 659 656 751
655 683 813 831
703 726 801 767
763 822 754 967
# position initiale des personnes (X, Y) et case de sortie (X, Y)
# 1024 personnes
625 342 1023 1023
182 626 1023 0
809 274 0 1023
503 644 1023 0
803 61 0 1023
782 343 0 0
615 296 1023 0
232 643 0 1023
634 215 0 0
870 20 0 0
328 953 1023 0
649 868 0 1023
281 665 0 1023
284 959 1023 1023
323 455 1023 0
801 21 1023 0
543 988 1023 1023
318 138 0 0
868 481 1023 0
610 873 1023 0
512 243 0 0
55 695 0 1023
132 45 0 0
715 809 1023 1023
886 879 0 1023
482 877 1023 0
275 170 1023 1023
743 923 1023 0
916 1004 1023 0
166 763 1023 1023
808 390 1023 1023
335 531 0 1023
432 438 0 1023
515 881 0 0
422 85 1023 0
479 559 0 1023
861 63 0 1023
682 242 1023 0
581 970 0 1023
91 256 1023 1023
953 820 1023 0
462 362 1023 0
814 643 1023 1023
440 233 1023 1023
885 792 0 0
936 627 1023 1023
471 779 1023 0
924 722 0 0
74 996 0 0
749 431 0 1023
485 590 1023 1023
252 602 1023 0
274 149 0 0
497 165 0 0
490 499 1023 0
299 962 1023 0
935 632 1023 0
1012 208 0 0
464 809 0 1023
484 263 0 1023
722 783 1023 0
685 734 0 0
544 999 0 1023
583 348 0 1023
576 690 1023 1023
354 267 1023 0
167 89 1023 1023
855 216 0 0
235 217 0 0
386 554 0 0
335 612 1023 1023
476 758 1023 1023
261 129 0 1023
66 211 1023 1023
934 259 1023 0
692 357 1023 0
469 765 1023 1023
909 684 0 1023
680 148 1023 0
366 733 1023 1023
350 882 1023 1023
677 669 1023 0
205 620 0 1023
664 47 1023 0
482 381 0 1023
737 691 1023 0
625 324 0 0
981 267 1023 1023
34 891 0 0
119 611 1023 0
488 559 0 1023
992 329 0 0
328 772 0 1023
783 226 1023 1023
146 241 0 1023
900 535 1023 1023
842 318 1023 0
201 207 0 0
461 44 1023 0
670 39 0 1023
687 748 1023 0
980 81 0 1023
172 571 1023 1023
679 83 1023 0
90 429 0 1023
434 196 0 1023
740 569 1023 1023
185 904 1023 1023
315 585 0 0
964 467 1023 0
165 70 1023 0
57 463 1023 0
877 711 1023 1023
369 969 0 1023
702 247 1023 0
821 672 0 1023
678 555 1023 1023
1013 787 0 0
158 239 1023 1023
730 162 0 0
482 949 0 0
771 258 0 0
450 568 1023 1023
848 763 1023 1023
835 961 0 0
844 523 0 1023
36 690 1023 1023
534 97 0 1023
719 625 0 1023
296 989 1023 0
329 701 0 1023
704 738 1023 0
206 443 0 1023
672 861 1023 1023
284 2 0 0
643 62 1023 1023
478 652 1023 0
195 46 1023 1023
890 499 1023 1023
275 906 0 1023
236 1 1023 0
370 824 0 0
32 264 0 1023
299 646 0 1023
1016 25 1023 1023
279 53 1023 0
422 541 0 1023
950 900 0 1023
88 201 1023 1023
482 142 0 1023
430 684 0 1023
108 675 1023 0
739 365 0 1023
895 405 0 0
715 219 1023 1023
606 461 0 0
894 576 0 1023
253 883 0 0
479 103 1023 1023
173 222 1023 1023
865 1004 0 1023
676 608 0 1023
267 745 0 1023
132 864 0 1023
179 820 1023 1023
959 837 1023 1023
454 426 1023 0
886 583 1023 0
280 647 1023 1023
271 533 1023 0
518 935 1023 1023
851 422 1023 0
1001 511 1023 0
88 12 0 1023
81 886 1023 0
245 247 0 1023
264 172 1023 0
223 979 0 0
906 622 1023 0
950 656 1023 0
152 63 0 1023
574 881 1023 1023
577 467 0 0
197 140 0 0
40 716 0 1023
723 771 0 0
322 435 0 1023
95 958 0 1023
57 399 1023 1023
931 156 1023 1023
466 629 1023 0
733 1003 1023 1023
520 260 1023 1023
413 40 1023 0
725 427 1023 1023
420 1003 1023 0
244 109 1023 1023
557 852 1023 1023
767 295 0 1023
922 1018 1023 1023
554 215 1023 1023
645 136 0 1023
699 288 1023 0
975 436 0 1023
167 971 0 1023
990 604 0 0
8 321 1023 0
973 979 1023 0
45 575 1023 1023
350 85 1023 1023
756 594 0 1023
692 22 0 1023
859 958 1023 1023
376 114 1023 0
224 208 0 1023
679 174 0 1023
737 686 0 1023
150 828 0 1023
242 564 0 1023
877 467 0 1023
393 807 0 0
84 378 0 0
501 462 0 0
16 877 0 1023
121 815 1023 1023
266 172 0 1023
2 449 0 1023
1023 1010 1023 0
542 980 0 0
827 499 0 0
65 899 0 0
479 278 1023 0
449 854 0 0
917 877 0 0
642 1019 1023 1023
257 206 0 0
690 219 0 0
90 854 0 0
217 949 1023 1023
611 218 1023 0
826 104 0 0
435 237 0 1023
549 848 0 1023
777 694 1023 1023
231 878 0 1023
911 638 1023 1023
1002 606 1023 0
497 819 1023 0
171 707 0 0
608 768 0 0
930 185 1023 0
917 856 1023 1023
762 674 0 0
152 830 1023 1023
318 743 1023 1023
547 26 0 1023
137 946 0 0
971 553 1023 1023
992 830 1023 0
605 593 1023 1023
970 187 0 1023
1023 275 0 1023
859 328 1023 1023
192 326 0 1023
279 43 1023 1023
198 983 1023 0
316 186 1023 0
334 155 1023 0
400 1007 1023 0
102 618 0 0
857 365 0 0
896 213 0 0
849 250 0 1023
217 884 1023 1023
237 55 1023 0
400 648 1023 1023
603 786 0 0
1010 933 0 0
231 131 1023 1023
69 790 1023 1023
847 1003 0 0
3 788 0 0
974 1007 0 0
353 304 1023 1023
478 677 0 0
141 853 1023 0
909 731 1023 0
327 221 0 1023
802 361 1023 0
787 544 0 0
715 766 0 0
855 344 0 0
615 273 1023 1023
81 183 0 1023
177 1012 1023 1023
826 288 1023 1023
363 162 1023 1023
162 481 1023 1023
239 481 0 0
609 169 0 1023
498 200 0 1023
1013 55 0 1023
120 874 1023 1023
451 138 0 0
120 1001 0 1023
413 375 1023 1023
708 616 0 0
387 382 1023 1023
384 437 0 0
193 777 1023 0
671 101 1023 1023
432 542 0 1023
136 362 1023 1023
327 143 0 1023
114 405 0 1023
971 87 0 0
575 10 1023 1023
428 1003 0 1023
321 71 1023 0
207 278 1023 1023
992 276 0 0
492 241 1023 0
527 538 0 0
778 544 0 0
392 346 1023 0
329 577 1023 1023
837 359 1023 1023
469 65 0 1023
723 813 1023 0
24 17 1023 0
454 924 0 1023
955 146 1023 0
578 36 1023 1023
636 858 1023 0
141 860 1023 0
77 705 0 0
805 238 0 1023
807 373 0 0
147 877 0 0
550 600 1023 1023
636 152 1023 1023
732 959 0 0
455 875 0 1023
133 373 0 0
620 630 1023 1023
650 293 1023 1023
724 178 0 0
790 583 1023 0
487 338 0 1023
290 19 0 1023
162 262 1023 1023
228 490 1023 0
732 813 0 1023
920 572 0 0
882 511 1023 1023
110 658 1023 0
539 172 0 0
578 341 1023 1023
684 25 0 0
713 293 0 0
165 102 1023 0
287 1006 1023 1023
642 862 1023 1023
696 175 0 1023
254 234 0 0
730 990 0 1023
389 313 0 1023
107 97 0 1023
490 614 0 0
620 23 0 1023
586 570 1023 1023
724 480 1023 1023
139 217 1023 1023
543 509 1023 0
979 422 0 1023
919 742 0 1023
97 602 0 1023
708 223 1023 0
873 239 0 1023
422 875 1023 0
89 161 0 1023
1001 882 0 1023
254 894 1023 0
219 21 1023 0
108 260 0 0
952 502 0 0
443 873 1023 1023
253 246 1023 1023
734 841 0 1023
306 663 0 0
802 42 1023 0
399 367 1023 1023
930 407 0 1023
893 715 0 1023
699 320 1023 1023
689 457 1023 1023
713 755 0 0
947 1001 0 1023
697 3 0 0
673 639 1023 1023
956 415 0 1023
1006 725 1023 0
454 845 1023 1023
149 563 0 0
506 32 1023 0
235 179 1023 0
217 850 1023 0
659 179 1023 0
264 192 0 1023
888 694 0 0
790 994 0 1023
876 211 1023 1023
458 224 0 0
599 407 0 1023
603 242 0 0
992 583 1023 1023
866 417 1023 0
596 260 1023 0
509 611 1023 1023
709 573 0 0
395 854 1023 0
445 35 1023 0
770 267 0 1023
660 182 1023 0
943 415 1023 0
368 784 0 1023
776 576 0 1023
691 305 1023 0
698 280 1023 1023
29 678 0 0
584 495 1023 0
215 260 1023 1023
968 530 0 1023
11 413 1023 0
292 6 0 0
936 72 1023 0
725 244 1023 1023
422 532 0 0
522 195 0 1023
266 165 1023 1023
743 641 1023 1023
258 181 0 1023
982 430 0 1023
801 73 1023 0
352 914 0 1023
674 28 1023 0
653 250 0 1023
754 584 1023 0
226 870 1023 0
807 179 0 1023
701 707 0 1023
710 872 0 0
797 585 1023 1023
927 872 1023 0
221 17 0 1023
11 957 0 1023
491 865 0 1023
546 806 1023 1023
627 417 1023 1023
179 255 0 1023
177 469 0 0
610 334 1023 1023
904 771 0 0
7 13 1023 0
207 34 1023 1023
273 628 1023 0
793 269 1023 0
246 224 1023 1023
440 332 0 0
154 428 1023 0
877 96 1023 1023
913 841 0 0
264 763 1023 1023
575 672 0 1023
837 585 1023 0
787 143 0 1023
908 393 1023 1023
589 92 1023 1023
898 918 0 0
742 835 0 1023
955 291 0 0
941 786 0 0
129 180 1023 1023
613 263 1023 0
994 888 0 1023
187 129 1023 1023
270 12 0 1023
163 680 0 0
235 911 1023 1023
450 259 1023 1023
328 85 0 1023
890 331 1023 0
551 630 0 1023
375 137 0 1023
444 497 1023 1023
989 977 0 1023
389 5 0 0
172 815 0 1023
163 739 1023 1023
969 861 0 1023
164 919 1023 1023
989 679 0 1023
778 530 0 0
899 439 0 1023
725 963 0 0
200 832 0 1023
1008 831 1023 0
513 783 0 0
514 622 1023 1023
885 415 1023 1023
585 89 0 0
271 991 0 0
297 758 0 0
671 424 0 1023
331 818 1023 0
415 607 1023 1023
231 675 1023 0
491 446 1023 0
417 168 0 1023
418 587 0 1023
760 609 1023 0
705 777 1023 1023
639 51 0 1023
25 960 0 1023
3 1008 0 0
949 638 1023 0
959 24 1023 1023
24 1012 1023 1023
917 295 1023 0
663 106 1023 1023
865 336 0 1023
232 83 0 0
141 84 1023 0
496 832 0 0
682 227 0 1023
361 875 1023 1023
95 643 1023 0
739 708 0 0
397 571 0 1023
669 712 1023 0
215 1018 1023 1023
580 660 0 0
732 573 1023 0
690 552 0 1023
549 72 0 1023
449 553 0 1023
204 104 1023 1023
343 144 0 0
903 941 0 1023
357 66 0 1023
925 399 0 0
113 115 1023 1023
112 867 1023 0
667 196 0 0
458 964 1023 1023
237 754 0 0
494 184 0 0
432 333 1023 0
927 423 0 0
493 151 1023 0
637 978 1023 1023
235 785 0 0
1022 222 0 1023
405 580 1023 1023
985 972 1023 0
526 681 1023 1023
303 568 1023 0
68 23 1023 0
644 214 1023 0
758 377 0 1023
554 237 1023 1023
528 236 1023 0
453 214 0 1023
347 958 0 1023
72 548 0 1023
26 811 0 1023
691 822 0 1023
888 532 0 0
867 780 0 1023
645 321 0 1023
546 1022 0 0
664 963 0 1023
182 372 0 1023
520 666 1023 1023
78 740 1023 1023
594 78 0 1023
891 298 0 1023
852 119 1023 0
686 969 1023 0
860 258 1023 1023
375 425 0 1023
904 177 1023 0
7 271 1023 0
576 130 0 1023
240 60 1023 1023
297 40 1023 1023
289 865 1023 0
291 182 1023 0
666 922 0 0
230 124 0 1023
622 137 0 1023
984 79 0 0
588 991 0 1023
591 812 0 1023
257 200 1023 1023
47 921 0 1023
674 174 0 1023
68 799 0 0
240 504 1023 0
725 188 1023 1023
431 182 1023 0
330 860 1023 1023
658 154 0 1023
320 792 0 0
233 232 1023 0
671 421 0 0
798 534 1023 1023
407 437 1023 1023
540 168 1023 0
914 919 0 1023
677 167 0 1023
906 222 0 0
170 884 0 1023
944 487 1023 0
610 237 1023 0
906 674 0 1023
773 539 0 1023
507 50 0 0
711 14 0 1023
775 665 1023 0
28 727 0 0
329 773 1023 1023
108 228 0 0
49 572 1023 0
127 819 0 0
889 979 0 1023
429 990 1023 0
885 377 1023 1023
381 985 0 0
588 812 1023 1023
167 621 0 1023
225 577 1023 1023
317 921 1023 1023
197 553 1023 0
799 586 0 1023
485 641 1023 0
503 439 1023 1023
141 452 0 1023
28 549 0 1023
61 566 0 1023
553 260 1023 1023
548 514 1023 0
827 973 0 0
102 968 1023 1023
409 660 0 0
211 64 1023 1023
179 57 1023 0
127 400 0 0
330 959 0 0
227 345 0 1023
125 63 1023 1023
162 553 0 1023
248 403 0 0
826 585 0 0
921 318 0 0
555 463 0 0
340 862 0 1023
630 395 0 0
932 276 1023 0
249 47 1023 1023
344 498 0 0
561 544 1023 1023
1020 725 0 0
345 176 1023 0
814 294 1023 0
881 364 1023 0
356 299 1023 1023
811 459 1023 1023
910 919 1023 0
10 291 1023 1023
897 782 1023 1023
813 283 0 1023
616 14 1023 1023
419 159 0 0
181 137 0 1023
456 1007 0 1023
2 264 1023 1023
994 977 0 0
888 990 1023 1023
904 511 1023 1023
599 966 0 0
511 911 0 1023
435 64 0 0
331 84 1023 1023
965 728 1023 0
153 177 1023 0
397 999 0 1023
235 886 0 1023
418 616 0 0
439 201 0 0
821 319 1023 1023
139 1004 1023 0
107 549 1023 1023
593 203 1023 0
662 305 0 1023
837 539 1023 0
536 650 0 1023
695 510 0 0
99 186 0 1023
646 122 1023 1023
800 652 1023 0
464 757 0 0
1023 627 0 0
1014 924 1023 1023
878 5 1023 1023
864 380 0 0
641 116 1023 0
303 32 0 1023
909 404 1023 0
952 335 0 0
621 505 1023 0
572 267 1023 0
198 1002 1023 1023
881 85 1023 0
678 1010 1023 1023
508 480 0 0
370 128 1023 1023
346 141 1023 1023
564 66 0 0
404 702 1023 1023
172 437 1023 1023
364 806 1023 0
221 3 1023 0
168 716 1023 1023
500 633 1023 1023
139 523 1023 1023
45 627 0 0
811 514 1023 0
210 428 0 0
252 663 1023 1023
440 570 1023 1023
451 293 1023 0
464 989 1023 1023
87 652 0 1023
354 270 0 0
616 808 1023 1023
695 1011 0 0
474 454 1023 0
464 912 1023 0
483 364 0 1023
542 271 1023 1023
378 319 0 1023
132 44 0 1023
657 469 1023 1023
290 495 0 0
60 705 1023 1023
6 369 0 1023
469 622 0 0
951 745 0 0
589 546 1023 1023
440 405 0 0
466 621 1023 0
353 406 1023 0
377 318 0 1023
334 893 1023 1023
812 462 1023 1023
972 742 1023 1023
